KORONABIRUSAREN EGOERA EPIDEMILOGIKOA EUSKADIN (COVID-19) / SITUACIÓN EPIDEMIOLÓGICA DEL CORONAVIRUS (COVID-19) EN EUSKADI;
Data / Fecha;Testak guztira / Test totales;Test azkarrak guztira / Test rápidos totales;Pertsona bakarrak guztira / Personas únicas totales;PCR-dun pertsona bakarrak / Personas únicas con PCR;Milio bat biztanleko PCR-dun kopurua / Personas con PCR por millón de habitantes;PCR kasu positiboak / Casos positivos PCR;Serologia bidez baieztatutako kasuak / Casos positivos detectados por serología;Kasu positiboak guztira / Casos positivos totales;Araban kasu positiboak / Casos positivos Álava;Bizkaian kasu positiboak / Casos positivos  Bizkaia;Gipuzkoan kasu positiboak / Casos positivos Gipuzkoa;Beste  kasu positiboak / Otros casos positivos ;Sendatutakoak edo ospitaleko altak / Recuperados o altas Hospitalarias;Ez berreskuratuak / No recuperados;Hildakoak / Fallecidos; Positibodun ospitaleratze berriak plantan / Nuevos ingresos planta con positivo;Plantan ospitaleratuta dauden positibodunak / Ingresados en planta con positivo;ZIUn ospitaleratuak / Hospitalizados en UCI;R0 Euskadin / R0 en Euskadi;Negatibizatuak / Negativizados;Ospitaleko altak / Altas hospitalarias;ZIUN ospitaleratze berriak azken 14 egunetan / Nuevos ingresos en UCI en los últimos 14 días;Positiboen tasa 100.000 biztanleko Araban/Tasa de positivos por 100.000 habitantes en Álava ;Positiboen tasa 100.000 biztanleko Bizkaian/Tasa de positivos por 100.000 habitantes en Bizkaia ;Positiboen tasa 100.000 biztanleko Gizpuzkoan/Tasa de positivos por 100.000 habitantes en Gipuzkoa;
2021/07/03;3511869;;;;;208792;;;29514;105042;70826;3410;;;;10;50;35;1,53;;;;;;;
2021/07/04;3517174;;;;;209159;;;29548;105220;70972;3419;;;;9;50;36;1,51;;;;;;;
2021/07/05;3527216;141066;1248252;1128800;567462;209645;;;29605;105414;71192;3434;;;4419;22;58;30;1,51;;;;9359,526845;9300,862282;9798,211693;
2021/07/06;3536200;;;;;210254;;;29671;105676;71449;3458;;;;19;51;25;1,5;;;;;;;
2021/07/07;3545460;;;;;210903;;;29733;105970;71709;3491;;;;18;50;25;1,45;;;;;;;
2021/07/08;3554650;;;;;211606;;;29825;106284;71974;3523;;;;27;65;28;1,42;;;;;;;
2021/07/09;3564034;;;;;212343;;;29917;106636;72240;3550;;;;23;65;28;1,37;;;;;;;
2021/07/10;3571146;;;;;213012;;;29990;106908;72516;3598;;;;19;70;27;1,34;;;;;;;
2021/07/11;3578069;;;;;213684;;;30074;107190;72782;3638;;;;23;82;28;1,32;;;;;;;
2021/07/12;3587567;141066;1260000;1138405;572802;214472;;;30168;107594;73033;3677;;;4424;26;87;23;1,3;;;;9519,728414;9475,790309;10047,63636;
2021/07/13;3599218;;;;;215461;;;30262;108056;73431;3712;;;;31;99;26;1,31;;;;;;;
2021/07/14;3610667;;;;;216678;;;30416;108567;73933;3762;;;;31;98;28;1,36;;;;;;;
2021/07/15;3622561;;;;;218023;;;30579;109239;74415;3790;;;;47;126;31;1,41;;;;;;;
2021/07/16;3633831;;;;;219200;;;30715;109791;74874;3820;;;;45;132;31;1,4;;;;;;;
2021/07/17;3642721;;;;;220211;;;30852;110301;75216;3842;;;;31;141;34;1,35;;;;;;;
2021/07/18;3650648;;;;;221221;;;30964;110780;75614;3863;;;;36;164;42;1,3;;;;;;;
2021/07/19;3662592;141066;1273314;1148854;578855;222535;;;31103;111474;76054;3904;;;4429;48;174;44;1,29;;;;9746,857293;9747,755525;10395,33186;
2021/07/20;3675346;;;;;224118;;;31292;112347;76535;3944;;;;49;189;45;1,3;;;;;;;
2021/07/21;3688326;;;;;225919;;;31496;113425;77017;3981;;;;29;172;48;1,3;;;;;;;
2021/07/22;3700912;;;;;227688;;;31693;114391;77581;4023;;;;47;179;50;1,27;;;;;;;
2021/07/23;3712800;;;;;229326;;;31898;115326;78045;4057;;;;62;191;52;1,24;;;;;;;
2021/07/24;3721375;;;;;230532;;;32072;115960;78411;4089;;;;34;199;55;1,19;;;;;;;
2021/07/25;3728581;;;;;231474;;;32173;116468;78723;4110;;;;46;227;56;1,12;;;;;;;
2021/07/26;3738798;141066;1286856;1161057;585011;232674;;;32294;117151;79084;4145;;;4444;40;209;59;1,06;;;;10082,40236;10216,40599;10807,29203;
2021/07/27;3750445;;;;;234246;;;32427;118115;79517;4187;;;;63;232;60;1,03;;;;;;;
2021/07/28;3761854;;;;;235822;;;32584;119041;79981;4216;;;;43;233;60;0,99;;;;;;;
2021/07/29;3773653;;;;;237137;;;32715;119817;80369;4236;;;;55;243;62;0,94;;;;;;;
2021/07/30;3784646;;;;;238407;;;32907;120480;80757;4263;;;;48;219;63;0,91;;;;;;;
2021/07/31;3792097;;;;;239334;;;33030;121035;80989;4280;;;;31;219;63;0,89;;;;;;;
2021/08/01;3799377;;;;;240101;;;33125;121492;81189;4295;;;;33;239;60;0,9;;;;;;;
2021/08/02;3808944;141066;1299512;1173070;590765;241008;;;33235;121968;81489;4316;;;4466;56;240;63;0,89;;;;10371,00745;10606,12126;11125,7006;
2021/08/03;3818373;;;;;242094;;;33389;122557;81810;4338;;;;72;266;61;0,86;;;;;;;
2021/08/04;3827387;;;;;243196;;;33532;123165;82129;4370;;;;56;265;61;0,83;;;;;;;
2021/08/05;3835663;;;;;244244;;;33640;123756;82456;4392;;;;54;259;66;0,83;;;;;;;
2021/08/06;3843562;;;;;245123;;;33734;124269;82705;4415;;;;49;251;67;0,82;;;;;;;
2021/08/07;3850728;;;;;245934;;;33848;124741;82899;4446;;;;35;268;66;0,84;;;;;;;
2021/08/08;3856051;;;;;246516;;;33926;125054;83071;4465;;;;30;285;66;0,86;;;;;;;
2021/08/09;3863622;141066;1309702;1182268;595397;247203;;;34013;125447;83264;4479;;;4491;56;279;69;0,86;;;;10600,55904;10897,23283;11374,57007;
2021/08/10;3871983;;;;;248168;;;34184;125979;83496;4509;;;;56;282;67;0,88;;;;;;;
2021/08/11;3879409;;;;;249095;;;34359;126461;83746;4529;;;;59;269;64;0,88;;;;;;;
2021/08/12;3886778;;;;;249986;;;34541;126927;83966;4552;;;;47;281;62;0,89;;;;;;;
2021/08/13;3893246;;;;;250742;;;34680;127331;84157;4574;;;;36;257;61;0,9;;;;;;;
2021/08/14;3898332;;;;;251323;;;34778;127655;84306;4584;;;;41;270;66;0,89;;;;;;;
2021/08/15;3903369;;;;;251867;;;34863;127948;84456;4600;;;;34;281;72;0,91;;;;;;;
2021/08/16;3910195;141066;1318018;1189823;599178;252508;;;34967;128278;84642;4621;;;4529;49;283;73;0,92;;;;10849,18945;11104,01342;11521,2823;
2021/08/17;3917556;;;;;253256;;;35119;128652;84849;4636;;;;50;256;75;0,91;;;;;;;
2021/08/18;3924824;;;;;253958;;;35238;129066;85002;4652;;;;34;241;78;0,89;;;;;;;
2021/08/19;3930375;;;;;254577;;;35348;129391;85173;4665;;;;46;237;77;0,86;;;;;;;
2021/08/20;3936936;;;;;255181;;;35452;129727;85321;4681;;;;44;241;73;0,85;;;;;;;
2021/08/21;3942157;;;;;255721;;;35540;129976;85507;4698;;;;31;239;80;0,88;;;;;;;
2021/08/22;3946240;;;;;256084;;;35590;130176;85613;4705;;;;41;265;82;0,87;;;;;;;
2021/08/23;3952486;141066;1325586;1196625;602618;256589;;;35650;130436;85791;4712;;;4565;50;244;79;0,88;;;;11058,14802;11285,1205;11672,15854;
2021/08/24;3959355;;;;;257232;;;35755;130757;85992;4728;;;;39;238;78;0,88;;;;;;;
2021/08/25;3964899;;;;;257771;;;35828;131046;86155;4742;;;;38;224;76;0,87;;;;;;;
2021/08/26;3970826;;;;;258286;;;35894;131312;86329;4751;;;;42;222;72;0,88;;;;;;;
2021/08/27;3975972;;;;;258779;;;35958;131576;86481;4764;;;;35;216;69;0,88;;;;;;;
2021/08/28;3980533;;;;;259060;;;36001;131720;86569;4770;;;;35;221;71;0,84;;;;;;;
2021/08/29;3985094;;;;;259356;;;36045;131869;86667;4775;;;;27;220;74;0,86;;;;;;;
2021/08/30;3990646;141066;1332134;1202646;605595;259705;;;36080;132075;86772;4778;;;4595;31;196;72;0,85;;;;11186,55155;11419,84119;11806,10112;
2021/08/31;3997687;;;;;260137;;;36145;132301;86907;4784;;;;48;212;71;0,82;;;;;;;
2021/09/01;4003617;;;;;260534;;;36195;132500;87043;4796;;;;37;198;73;0,82;;;;;;;
2021/09/02;4009285;;;;;260880;;;36232;132691;87155;4802;;;;40;207;71;0,8;;;;;;;
2021/09/03;4014654;;;;;261189;;;36270;132853;87252;4814;;;;31;174;69;0,78;;;;;;;
2021/09/04;4018999;;;;;261418;;;36297;132953;87352;4816;;;;22;172;68;0,81;;;;;;;
2021/09/05;4022657;;;;;261627;;;36329;133069;87409;4820;;;;35;193;71;0,83;;;;;;;
2021/09/06;4028808;141066;1338436;1208392;608460;261873;;;36358;133194;87492;4829;;;4625;38;195;62;0,83;;;;11264,38104;11515,39889;11898,54232;
2021/09/07;4035306;;;;;262146;;;36398;133324;87591;4833;;;;48;194;60;0,8;;;;;;;
2021/09/08;4040952;;;;;262379;;;36424;133444;87674;4837;;;;41;193;57;0,78;;;;;;;
2021/09/09;4045270;;;;;262615;;;36452;133583;87741;4839;;;;27;181;58;0,76;;;;;;;
2021/09/10;4050064;;;;;262849;;;36480;133711;87818;4840;;;;29;168;58;0,78;;;;;;;
2021/09/11;4054428;;;;;263035;;;36506;133802;87881;4846;;;;19;160;58;0,8;;;;;;;
2021/09/12;4058096;;;;;263154;;;36523;133863;87921;4847;;;;26;170;57;0,81;;;;;;;
2021/09/13;4064385;141066;1344437;1213936;611188;263372;;;36544;133963;88010;4855;;;4669;31;166;54;0,84;;;;11319,80049;11578,32076;11964,0562;
2021/09/14;4070895;;;;;263567;;;36564;134065;88080;4858;;;;28;161;53;0,83;;;;;;;
2021/09/15;4076961;;;;;263782;;;36582;134196;88144;4860;;;;40;166;52;0,86;;;;;;;
2021/09/16;4082423;;;;;263945;;;36602;134282;88200;4861;;;;24;153;50;0,86;;;;;;;
2021/09/17;4087858;;;;;264141;;;36641;134388;88248;4864;;;;30;142;52;0,87;;;;;;;
2021/09/18;4092477;;;;;264245;;;36650;134456;88275;4864;;;;12;122;45;0,85;;;;;;;
2021/09/19;4096589;;;;;264314;;;36658;134489;88301;4866;;;;15;124;52;0,84;;;;;;;
2021/09/20;4103312;141066;1350607;1219970;613993;264433;;;36669;134546;88346;4872;;;4701;16;114;50;0,8;;;;11356,74679;11627,14396;12014,30201;
2021/09/21;4110129;;;;;264563;;;36695;134609;88386;4873;;;;26;110;49;0,79;;;;;;;
2021/09/22;4116956;;;;;264683;;;36718;134675;88410;4880;;;;28;104;49;0,74;;;;;;;
2021/09/23;4122646;;;;;264793;;;36734;134725;88452;4882;;;;24;104;46;0,74;;;;;;;
2021/09/24;4128064;;;;;264934;;;36752;134789;88510;4883;;;;24;97;42;0,74;;;;;;;
2021/09/25;4132293;;;;;265039;;;36767;134838;88547;4887;;;;13;81;40;0,79;;;;;;;
2021/09/26;4136488;;;;;265114;;;36778;134881;88565;4890;;;;11;83;41;0,86;;;;;;;
2021/09/27;4143430;141066;1357369;1224635;614507;265214;;;36787;134934;88601;4892;;;4730;15;85;39;0,89;;;;;;;
2021/09/28;4150743;;;;;265303;;;36800;134977;88633;4893;;;;22;87;39;0,88;;;;;;;
2021/09/29;4157357;;;;;265398;;;36816;135026;88662;4894;;;;17;86;37;0,88;;;;;;;
2021/09/30;4162785;;;;;265503;;;36826;135076;88705;4896;;;;27;95;37;0,9;;;;;;;
2021/10/01;4167640;;;;;265567;;;36833;135107;88730;4897;;;;20;70;36;0,83;;;;;;;
2021/10/02;4171325;;;;;265639;;;36842;135135;88760;4902;;;;13;62;39;0,81;;;;;;;
2021/10/03;4174927;;;;;265706;;;36848;135156;88797;4905;;;;6;57;39;0,83;;;;;;;
2021/10/04;4180254;141066;1363702;1229690;620365;265798;;;36858;135191;88841;4908;;;4747;20;58;34;0,86;;;;11407,9265;11678,66505;12073,56987;
2021/10/05;4186176;;;;;265897;;;36879;135230;88880;4908;;;;9;47;32;0,92;;;;;;;
2021/10/06;4191859;;;;;265985;;;36896;135269;88910;4910;;;;10;40;31;0,94;;;;;;;
2021/10/07;4196164;;;;;266088;;;36910;135317;88951;4910;;;;10;39;32;0,96;;;;;;;
2021/10/08;4200034;;;;;266246;;;36920;135420;88995;4911;;;;12;41;30;1,14;;;;;;;
2021/10/09;4202909;;;;;266315;;;36926;135455;89021;4913;;;;16;48;30;1,14;;;;;;;
2021/10/10;4204755;141066;1368736;1233264;625769;266359;;;36930;135476;89038;4915;;;4754;10;48;29;1,07;;;;;;;
2021/10/11;4208205;;;;;266433;;;36936;135511;89067;4919;;;;7;41;28;1,01;;;;;;;
2021/10/12;4211308;;;;;266512;;;36946;135550;89097;4919;;;;16;51;28;0,96;;;;;;;
2021/10/13;4215891;;;;;266624;;;36962;135596;89146;4920;;;;15;62;23;1;;;;;;;
2021/10/14;4220636;;;;;266763;;;36972;135668;89201;4922;;;;10;61;22;1,06;;;;;;;
2021/10/15;4224368;;;;;266895;;;36982;135746;89243;4924;;;;11;51;21;1,02;;;;;;;
2021/10/16;4227278;;;;;267021;;;36995;135812;89289;4925;;;;8;49;24;1,1;;;;;;;
2021/10/17;4229559;141066;1373065;1236327;630553;267106;;;37000;135856;89324;4926;;;4768;8;48;26;1,15;;;;;;;
2021/10/18;4233358;;;;;267214;;;37018;135904;89366;4926;;;;11;57;24;1,19;;;;;;;
2021/10/19;4238198;;;;;267363;;;37028;135980;89428;4927;;;;12;66;23;1,25;;;;;;;
2021/10/20;4242891;;;;;267532;;;37039;136070;89489;4934;;;;18;79;22;1,26;;;;;;;
2021/10/21;4247487;;;;;267681;;;37050;136144;89550;4937;;;;27;88;22;1,21;;;;;;;
2021/10/22;4252196;;;;;267814;;;37064;136194;89616;4940;;;;17;77;21;1,14;;;;;;;
2021/10/23;4255099;;;;;267921;;;37077;136257;89647;4940;;;;11;76;22;1,06;;;;;;;
2021/10/24;4257493;141066;1378284;1239815;636507;268033;;;37086;136298;89709;4940;;;4790;13;81;24;1,06;;;;;;;
2021/10/25;4262230;;;;;268161;;;37107;136354;89760;4940;;;;13;78;24;1,07;;;;;;;
2021/10/26;4267636;;;;;268299;;;37121;136423;89812;4943;;;;13;82;25;1,04;;;;;;;
2021/10/27;4272401;;;;;268444;;;37140;136479;89882;4943;;;;20;82;26;1;;;;;;;
2021/10/28;4277315;;;;;268599;;;37150;136549;89956;4944;;;;16;83;27;1;;;;;;;
2021/10/29;4281633;;;;;268750;;;37158;136615;90033;4944;;;;20;86;27;1,03;;;;;;;
2021/10/30;4284048;;;;;268876;;;37174;136689;90069;4944;;;;15;88;26;1,04;;;;;;;
2021/10/31;4286511;141066;1383556;1243339;642681;269012;;;37179;136724;90163;4946;;;4802;10;86;26;1,06;;;;;;;
2021/11/01;4289003;;;;;269129;;;37191;136766;90224;4948;;;;13;86;26;1,04;;;;;;;
2021/11/02;4293503;;;;;269326;;;37207;136823;90344;4952;;;;16;80;27;1,08;;;;;;;
2021/11/03;4298477;;;;;269559;;;37231;136884;90491;4953;;;;10;76;27;1,16;;;;;;;
2021/11/04;4303515;;;;;269866;;;37251;136976;90679;4960;;;;9;72;27;1,29;;;;;;;
2021/11/05;4308350;;;;;270092;;;37269;137067;90791;4965;;;;14;72;26;1,31;;;;;;;
2021/11/06;4311924;;;;;270251;;;37284;137157;90845;4965;;;;11;75;27;1,26;;;;;;;
2021/11/07;4314907;141066;1388777;1247074;648697;270436;;;37294;137211;90965;4966;;;4816;17;90;24;1,22;;;;;;;
2021/11/08;4320143;;;;;270761;;;37332;137304;91152;4973;;;;28;93;23;1,31;;;;;;;
2021/11/09;4326449;;;;;271065;;;37355;137404;91325;4981;;;;16;85;27;1,32;;;;;;;
2021/11/10;4332841;;;;;271427;;;37381;137532;91530;4984;;;;24;93;24;1,33;;;;;;;
2021/11/11;4339005;;;;;271845;;;37417;137661;91775;4992;;;;23;96;24;1,31;;;;;;;
2021/11/12;4345582;;;;;272296;;;37461;137818;92017;5000;;;;24;100;25;1,35;;;;;;;
2021/11/13;4350527;;;;;272703;;;37499;137976;92226;5002;;;;20;103;28;1,4;;;;;;;
2021/11/14;4354644;141066;1396009;1252552;656760;273012;;;37509;138109;92386;5008;;;4828;25;114;30;1,36;;;;;;;
2021/11/15;4361410;;;;;273446;;;37557;138252;92627;5010;;;;25;116;27;1,3;;;;;;;
2021/11/16;4369043;;;;;273973;;;37614;138390;92952;5017;;;;22;116;29;1,31;;;;;;;
2021/11/17;4377142;;;;;274664;;;37669;138621;93344;5030;;;;26;114;30;1,35;;;;;;;
2021/11/18;4385961;;;;;275303;;;37730;138830;93707;5036;;;;45;137;29;1,35;;;;;;;
2021/11/19;4394025;;;;;275965;;;37783;139067;94073;5042;;;;41;133;29;1,33;;;;;;;
2021/11/20;4400675;;;;;276560;;;37842;139297;94374;5047;;;;23;132;33;1,29;;;;;;;
2021/11/21;4406496;141066;1405373;1260116;666391;277050;;;37870;139484;94642;5054;;;4839;37;168;31;1,26;;;;;;;
2021/11/22;4415025;;;;;277835;;;37975;139682;95115;5063;;;;45;176;31;1,28;;;;;;;
2021/11/23;4424924;;;;;278718;;;38091;139891;95667;5069;;;;42;184;35;1,3;;;;;;;
2021/11/24;4435767;;;;;279668;;;38219;140170;96200;5079;;;;37;179;36;1,29;;;;;;;
2021/11/25;4447089;;;;;280754;;;38349;140441;96876;5088;;;;40;180;35;1,32;;;;;;;
2021/11/26;4458306;;;;;281904;;;38554;140837;97412;5101;;;;39;185;38;1,34;;;;;;;
2021/11/27;4465005;;;;;282722;;;38685;141101;97827;5109;;;;37;198;45;1,29;;;;;;;
2021/11/28;4471394;141066;1416711;1269646;677666;283385;;;38732;141338;98202;5113;;;4860;31;214;47;1,24;;;;;;;
2021/11/29;4482206;;;;;284659;;;38959;141704;98872;5124;;;;59;229;49;1,25;;;;;;;
2021/11/30;4494494;;;;;285999;;;39183;142083;99591;5142;;;;55;232;51;1,26;;;;;;;
2021/12/01;4507919;;;;;287360;;;39368;142536;100306;5150;;;;34;207;55;1,26;;;;;;;
2021/12/02;4522358;;;;;289052;;;39598;143086;101208;5160;;;;33;215;58;1,28;;;;;;;
2021/12/03;4537435;;;;;290562;;;39832;143660;101889;5181;;;;53;234;63;1,26;;;;;;;
2021/12/04;4547241;;;;;291880;;;40022;144098;102563;5197;;;;42;252;66;1,25;;;;;;;
2021/12/05;4555409;141066;1430121;1281931;689638;292993;;;40206;144452;103123;5212;;;4885;30;266;70;1,23;;;;;;;
2021/12/06;4563365;;;;;294244;;;40456;144807;103763;5218;;;;33;260;72;1,16;;;;;;;
2021/12/07;4573585;;;;;295659;;;40686;145258;104481;5234;;;;50;273;73;1,11;;;;;;;
2021/12/08;4583505;;;;;297080;;;40886;145780;105169;5245;;;;26;293;73;1,08;;;;;;;
2021/12/09;4596757;;;;;298800;;;41165;146373;106005;5257;;;;55;309;72;1,05;;;;;;;
2021/12/10;4611807;;;;;300918;;;41479;147112;107061;5266;;;;62;330;76;1,1;;;;;;;
2021/12/11;4622093;;;;;302578;;;41745;147737;107819;5277;;;;37;337;87;1,12;;;;;;;
2021/12/12;4633661;141066;1443400;1293801;701231;304003;;;41962;148255;108493;5293;;;4910;20;338;91;1,13;;;;;;;
